#,"",PowerLineFrequency,SoftwareFilters,EEGPlacementScheme,EEGReference,CapManufacturer,TaskName,EEGChannelCount,RecordingType,RecordingDuration,SamplingFrequency,EOGChannelCount,ECGChannelCount,EMGChannelCount
419,418,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
420,419,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
421,420,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
422,421,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
423,422,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
424,423,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
425,424,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
426,425,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
427,426,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
428,427,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
429,428,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
430,429,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
431,430,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
432,431,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
433,432,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
434,433,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
435,434,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
436,435,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,124,128,0,0,0
437,436,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,124,128,0,0,0
438,437,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,124,128,0,0,0
439,438,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,124,128,0,0,0
440,439,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,124,128,0,0,0
441,440,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
442,441,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
443,442,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
444,443,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
445,444,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
446,445,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
447,446,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
448,447,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
449,448,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
450,449,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
451,450,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
452,451,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
453,452,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
454,453,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
455,454,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
456,455,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,124,128,0,0,0
457,456,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,124,128,0,0,0
458,457,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,124,128,0,0,0
459,458,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,124,128,0,0,0
460,459,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,124,128,0,0,0
461,460,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
462,461,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
463,462,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
464,463,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
465,464,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
466,465,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
467,466,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
468,467,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
469,468,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
470,469,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
471,470,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
472,471,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
473,472,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
474,473,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
475,474,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
476,475,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
477,476,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
478,477,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
479,478,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
480,479,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
481,480,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
482,481,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
483,482,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
484,483,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
485,484,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
486,485,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
487,486,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
488,487,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
489,488,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
490,489,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
491,490,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
492,491,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
493,492,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
494,493,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
495,494,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
496,495,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,128,0,0,0
497,496,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,128,0,0,0
498,497,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,128,0,0,0
499,498,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,128,0,0,0
500,499,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,128,0,0,0
501,500,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
502,501,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
503,502,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
504,503,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
505,504,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
506,505,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
507,506,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
508,507,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
509,508,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
510,509,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,124,160,0,0,0
511,510,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
512,511,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
513,512,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
514,513,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
515,514,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
516,515,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
517,516,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
518,517,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
519,518,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
520,519,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
521,520,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
522,521,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
523,522,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
524,523,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
525,524,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
526,525,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
527,526,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
528,527,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
529,528,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
530,529,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
531,530,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
532,531,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
533,532,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
534,533,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
535,534,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,125,160,0,0,0
536,535,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
537,536,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
538,537,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
539,538,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
540,539,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
541,540,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
542,541,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
543,542,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
544,543,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
545,544,60,{'Description': 'N/A'},10-10,Left or right ear lobe,"Electro-Cap International, Inc.",motion,64,continuous,123,160,0,0,0
